Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
16654,LC,stable,NA,NA,unlikely to be declining.,NA
16660,LC,stable,NA,NA,unlikely to be declining.,NA
16710,EN,decreasing,>50%,three generations,"serious population decline, estimated/projected to be more than 50% within three generations (1 generation or 4 years in the past, and 2 generations/8 years into the future)",NA
16718,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
16724,LC,decreasing,*,NA,NA,NA
40579,VU,decreasing,central highlands of Victoria ~9% in central Queensland 89% overall rate of population decline exceeds 30%,Victoria 1997-2010,Queensland first sampled in 1973-76 and re-sampled in 2001-02,2106.05
16730,NT,decreasing,3 generation,<30%,likely to face ongoing decline.                      decline in population size and/or area of occupancy that may approach 30% over a three generation period,2158.975
16739,VU,decreasing,>30%,"the past 10 years, and expected in the future 10 years","suspected population decline over more than 30% in the past 10 years, and expected in the future 10 years",NA
16740,VU,decreasing,>30%,over three generations in the past and future,"This species is assessed as Vulnerable due to a suspected population decline of more than 30% over three generations in the past and future, based on the extensive and rapid habitat loss in the majority of its range.",NA
40569,LC,stable,NA,NA,lack of major threats,NA
40570,LC,unknown,NA,NA,unlikely to be declining.,NA
16761,EN,decreasing,>50%,15 years (three generations),likely to be at least 50% or more in the next three generations (15 years),1880.16
16746,VU,decreasing,>30%,over a 21 year (=three generation) period,suspected to be >30% over a 21 year (=three generation) period,1965.66275
16777,LC,stable,NA,NA,population is not believed to be in decline at present,NA
41768,LC,decreasing,NA,NA,Most populations seem to be in decline,NA
16853,LC,stable,NA,NA,unlikely to be declining.,NA
16872,VU,decreasing,≥30%,15 years,suspected to have undergone a population decline of ≥30% over a period of 15 years (three generations),NA
16874,EN,decreasing,≥50%,"over the past 24 years (three generations, assuming a generation length of 8 years)","undergone a population reduction of ≥50% over the past 24 years (three generations, assuming a generation length of 8 years)...A future population reduction of ≥50% over a 24 year period is also suspected due to the same causes.  
",NA
16888,NT,decreasing,NA,NA,"no demonstrated population declines currently.       might be decreasing, but not at a rate of 10% over 10 years,",NA
16890,NT,decreasing,approaching 30%,over the past 10 years and suspected population decline to continue into the future,"suspected population size reduction over the past 10 years and suspected population decline to continue into the future, both approaching 30%",878.35415
16892,VU,decreasing,28.60%,three generational periods (15-21 years),overall decline in population size of 28.6% in three generational periods (15-21 years),2746.4425
12766,VU,decreasing,≥30%-40%,"over a 21 year period (seven years past, 14 years future; generation length estimated at seven years)","This species is projected to undergo a population decline of at least 30-40% over a 21 year period (seven years past, 14 years future; generation length estimated at seven years)",NA
12767,VU,decreasing,40%≤,"over a 21 year period (seven years past, 14 years future)","this species has already begun declining and will continue to decline by at least 40% over a 21 year period (seven years past, 14 years future)",NA
16981,LC,unknown,NA,NA,unlikely to be declining.,NA
17026,EN,decreasing,48%,1997/8-2013/14,"There is no historical population estimate but it is assumed that they were more abundant in the past due to the more extensive range they occupied (Childerhouse and Gales 1998).Estimates suggest that the population was largely stable until 1997/98, but has declined since then at a rate of 4%/year (see the Table 1 in the Supplementary Material - see below). The number of pups counted in 2013/14 was 18% less than in 2012/13, and 48% less than 1997/98 (Childerhouse 2014). The decrease in pup production at Auckland Islands has been linked with decreasing numbers of adult females (Chilvers 2012a).If the pup estimate from 1997/98 (3,021) is projected three generations forward with a decline of 4%/year the number of pups born in 2029/30 is estimated to be 840, which is a 72% reduction.",NA
17028,CR,E,NA,18,NA,NA
17035,LC,stable,NA,NA,No decline in population size has been detected,NA
10970,NT,decreasing,<30%,15 years,populations are estimated to have declined at a rate close to 30% over the last 15 years.      decline is predicted to continue,NA
6977,LC,unknown,NA,NA,unlikely to be declining.,NA
17222,NT,decreasing,NA,NA,unlikely to be declining.,NA
17223,LC,stable,NA,NA,unlikely to be declining.,NA
41755,VU,unknown,67%,NA,NA,NA
40009,EN,decreasing,>50%,27-30 years,"
 appears to be declining over the majority of its range.       undergone a decline exceeding 50% over the course of three generations (ca. 27-30 years)",NA
41025,EN,decreasing,>50%,over the past three generations (ca. 30 years),estimated to have undergone a decline of more than 50% over the past three generations (ca. 30 years),NA
41026,CR,decreasing,>80%,over the past three generations (ca. 30 years),a decline of more than 80% over the past three generations (ca. 30 years),NA
18247,EN,decreasing,>50%,over the course of three generations (ca. 27-30 years),estimated to have undergone a decline exceeding 50% over the course of three generations (ca. 27-30 years),NA
18256,EN,decreasing,In Ngogo 43% decline in groups in nearly 24 years… in Kibale 40% decline in animals number in long-term study spanning 28 years,NA,"In Ngogo study area, census data spanning nearly 24 years indicate a 43% decline in groups…. A similar long-term study spanning 28 years at the Kanyawara site of Kibale also indicated a 40% decline in red colobus numbers",NA
18257,NT,decreasing,20%-25%,over the last three generations,it is believed that it has undergone a population decline on the order of 20-25% over the last three generations,NA
18248,CR,decreasing,>80%,over the last three generations (Generation Length (years):9-10),the species has undergone more than an 80% decline over the last three generations,NA
17321,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a threatened category.,NA
136560,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
17331,LC,unknown,NA,NA,unlikely to be declining.,NA
17332,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
136769,EX,NA,>90%,in three generations (12–15 years),listed as Critically Endangered in 2006 after a decline in excess of 90% in three generations (12–15 years),NA
17402,LC,decreasing,NA,NA,no reason to believe that it is currently undergoing a big decline,NA
41567,VU,decreasing,> 30%,past 3 generations (27 years),estimated to have declined more than 30% over the past 3 generations (27 years),NA
17460,EN,decreasing,> 30%,3 generations (30 years),Over the past 2 generations (20 years) and one generation into the future (10 years) the total population will have been reduced by over 50%,NA
88160255,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
17568,VU,decreasing,>50%,10 years,declination of 50% over the past decade because of habitat destruction (Velazco and Aguirre 2008),NA
136232,NT,decreasing,<30%,over the last 15 years,suspected to be less than 30% over the last 15 years,NA
17596,LC,stable,NA,NA,no recorded population declines.        decreasing in Turkey,NA
17597,LC,unknown,"10 years,  3 generations",<30%,declining more than 30% in ten years or three generations,NA
17830,VU,decreasing,30%,last ten years,a population decline of at least 30% over the last ten years,NA
136660,LC,unknown,NA,NA,unlikely to be declining.,NA
44165,VU,decreasing,>10%,over the last 12 years (assuming a generation length of four years),population decline of at least 10% over the last 12 years (assuming a generation length of four years),1095
121097935,CR,decreasing,>80%,1985-2060,"If the rate of decline observed since 1985 and predicted continues unabated, the population decline will exceed 80% over a three-generation period (i.e., 75 years from 1985 to 2060)",9125
17975,CR,decreasing,>82%,"over 75 years, 1950–2025. Given that a Bornean Orangutan's generation length is ~25 years (Wich et al. 2009), this decline will occur in a period of three generations","Bornean Orangutans decreased by more than 60% between 1950 and 2010, and a further 22% decline is projected to occur between 2010 and 2025 (see below). Combined, this equates to a loss of more than 82% over 75 years, 1950–2025. Given that a Bornean Orangutan's generation length is ~25 years (Wich et al. 2009), this decline will occur in a period of three generations.",7300
120588639,CR,decreasing,83%,over the course of three generations (at elast 75 years),predict an 83% decline over the course of three generations,NA
17978,VU,decreasing,>30%,25 years,". Population viability analysis using estimates of abundance, fisheries-related incidental mortality, and rates of population growth from the early 2000s suggested that levels of bycatch were not sustainable in all FMAs and that Franciscanas in FMAs II, III and IV would decline by at least 30% in 25 years (Secchi and Fletcher 2004, Secchi 2006).",NA
41511,NT,decreasing,≤30%,over 9-12 years (=three generations),"an overall decline in population size is inferred and projected, at a rate approaching but not >30% over 9-12 years (=three generations).",1685.9516
39803,CR,decreasing,80%,past 30 years (approximately three generations),populations have been reduced by approximately 80% over the past 30 years (approximately three generations),3650
18127,VU,decreasing,>30%,last three generations (approximately 30 years),"a population decline, estimated to be more than 30% over the last three generations (approximately 30 years)",NA
18130,EN,decreasing,>50%,over the past 40 years (approximately 3 generations),"a past and continued population decline, estimated at more that 50% over the past 40 years (approximately 3 generations)",4745
18134,NT,decreasing,30%>,over three generations (approximately 30 years),probably at a rate of less than 30% over three generations (approximately 30 years),NA
18132,VU,decreasing,>30%,over the past 40 years (3 generations),estimated at more that 30% over the past 40 years (3 generations),NA
18144,VU,decreasing,<30%,in the past three generations (around 21 years),an estimated population decline of at least 30% in the past three generations (around 21 years),NA
18148,EN,decreasing,20%≤,in the last 12 years (two generations,Pacifici et al. 2013) and will also continue to decline over the next 12 years by more than 20%,2190
18149,NT,decreasing,20%-25%,"over the next three generations...(generation is 4 years according to:) ""the average age of mature individuals (Generation Length - GL) in the current population at around 4 years""",a future decline of 20-25% over the next three generations is suspected,NA
18150,VU,decreasing,NA,NA,"Habitat loss and destruction along with the killing of Fishing Cats by local people throughout the species’ range has led to a global population decline suspected to be 30% or more, in the past 15 years (three generations) ... These rates being compounded by ongoing retaliatory killing, it is likely that in the next 15 years there will be a drop of a further 30% in the global population...In Thailand 84%: ""Poaching and retribution killing were the major causes for a high Fishing Cat mortality of 84% in Thailand, where 16 individuals have been monitored over a three-year radio-telemetry study (Cutter 2015).""",NA
18231,NT,decreasing,NA,over the last three generations (12 years),around 20% over the last three generations (12 years),2268.94875
18245,NT,unknown,>20%,over the past 27 years or so,"this species is believed to have undergone a decline exceeding 20% over the past 27 years or so, mainly as a result of hunting and extensive habitat loss, especially in the eastern parts of their range",NA
18275,LC,unknown,NA,NA,unlikely to be declining.,NA
18276,LC,stable,NA,NA,unlikely to be declining,NA
9674,CR,decreasing,80%≤,over a three generation period (estimating the generation length to be 9 years). This time period includes both the past and the future.,a suspected population reduction of 80% or more in this species over a three generation period (estimating the generation length to be 9 years). This time period includes both the past and the future.,NA
41293,LC,decreasing,NA,NA,There is a predicted decline in total population of 20% or more until the year 2022 (Matthee et al. 2004).,NA
41294,LC,unknown,20%≤,over an unspecified length of time,Future decline in total population is predicted to be 20% or more over an unspecified length of time (Matthee et al. 2004).,NA
41295,LC,unknown,"partial, in South Africa >10%",by the year 2022,"(Partial) In South Africa, population decline of greater than 10% is predicted to occur by the year 2022 (Matthee et al. 2004).",NA
136713,LC,decreasing,<10%,over the next 20 years,continue declining in the future at a rate of <10% over the next 20 years (Friedmann and Daly 2004),NA
18360,CR,decreasing,NA,NA,continuing to decline.,NA
18355,EN,decreasing,>50%,52.5 years (three generations),decline of ≥50% over a period of 52.5 years (three generations),3650
18356,EN,decreasing,>50%,52.5 years (three generations),NA,NA
18357,EN,decreasing,NA,>50%,"52.5 years (three generations,",NA
18359,EN,decreasing,>50%,45 years (three generations),"undergone a population decline of ≥50% over a period of 45 years (three generations),",NA
18352,CR,decreasing,≥80%,in the future (over a 3-generation time period of 18-52.5 years),A population reduction of ≥80% is suspected to be met in the future (over a 3-generation time period of 18-52.5 years).,3283.175
18354,EN,decreasing,≥50%,"over the past 52.5 years (three generations, assuming a generation length of 17.5 years)","suspected to have undergone a population reduction of ≥50% over the past 52.5 years (three generations, assuming a generation length of 17.5 years)...A future population reduction of ≥50% over a 52.5-year period is also suspected",NA
18365,DD,unknown,NA,NA,unknown,NA
40636,LC,decreasing,10-20%,10 years,population size and rate of decline are poorly defined,678.278925
18492,CR,decreasing,>80%,in the past 10 years... projected continuing decline..within the next 10 years.,"Remaining fragmented subpopulations in coastal habitats are also declining rapidly, equating to a population decline of >80% in the past 10 years. With rainfall in the south-west of Western Australia predicted to decline further and continuing urban coastal development, there is a projected continuing decline of >80% within the next 10 years.",NA
18503,NT,decreasing,NA,NA,has very likely suffered a population decline,NA
40638,LC,decreasing,NA,NA,unlikely to be declining.,NA
18507,LC,unknown,NA,NA,unlikely to be declining.,NA
18558,LC,stable,NA,NA,"Although there have been declines in the past, it is now considered to be stable.",NA
75927871,VU,decreasing,NA,NA,The population size fluctuates.      undergoing continuing decline,884.68295
42647,LC,stable,NA,NA,unlikely to be declining.,NA
136808,VU,decreasing,NA,NA,limited monitoring indicates ongoing decline in abundance.            the declin is unlikely to be controlled in the near future.,884.68295
42648,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
18550,VU,decreasing,<30%,10 years,interpretation that decline over the last 10 years has been at least 30%.,884.68295
18597,CR,2016,"Consequently, total Saola population is undoubtedly less than 750, and likely much less.  Similar estimates of low hundreds at most were made in the 1990s by other researchers, based on the known range and reports from hunters (Vu Van Dung et al. 1993, Schaller and Rabinowitz 1995).     In 2003, research suggested that these numbers had been reduced by about 50% over the intervening five years (Weir and Dinh Van Cuong 2004).The former 2001 estimates may have been realistic at the time, but in light of a continuing high rate of decline, the current population is likely much nearer the lower figure (i.e., fewer than 250 mature individuals). The situation has deteriorated considerably since then and numbers are probably declining at a high rate due to intensive non-specific hunting of most larger species of wildlife throughout the species' range (spurred by commercial demand for bushmeat and traditional Asian medicine).",NA,NA,2287.540787
18656,EN,decreasing,NA,> 50%,past three generations (19.29 years,NA
18657,EN,decreasing,NA,19.29 years,<50%,NA
136587,CR,decreasing,NA,NA,"drastic population decline, suspected to be more than 80% over the last three generations (19.29 years; Pacifici et al. 2013)",NA
18702,LC,decreasing,"In Finland, detailed local studies showing 20-58% declines",over periods of 10-20 years,"In Finland over periods of 10-20 years (Hanski et al. 2001, Hanski 2006).",NA
18703,EN,decreasing,>50%,in the past and the future,expected population decline over more than 50% in the past and the future,NA
18711,EN,decreasing,50%≤,over the next 25 years (three Giant Otter generation lengths approximately represent a 25 year period),"Accelerating habitat destruction and degradation throughout the Giant Otter's range represents the greatest threat to the species, and is estimated to potentially lead to a future reduction in population size of 50% or more over the next 25 years (three Giant Otter generation lengths approximately represent a 25 year period)",NA
18713,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
18714,VU,stable,Carrol 1985),NA,NA,2945.918407
136504,CR,unknown,NA,NA,The complete absence of twentieth-century records for P. aruensis is concerning.       It could possibly be extinct.,NA
18719,VU,decreasing,30%,3 generations,populations are most likely in decline.                suspected 30% decline over the next three generations (24 years,NA
136373,NT,decreasing,<30%,10 years,likely in significant decline (but probably at a rate of less than 30% over ten years,NA
99688187,VU,decreasing,NA,NA,a population decline of more than 30% is suspected to occur over the next three generations (24 years based on Pacifici,NA
18732,CR,decreasing,(≥80%,three-generation (or 24.3-year),"Our estimates, derived from the little available data on forest loss rates (FAO 2010, UNDP 2013), suggest that habitat decline over the most recent three-generation (or 24.3-year) period was 83%. Thus, our best estimate of loss of P. livingstonii habitat exceeds the threshold under the A2 criterion for CR status (≥80% loss of population, as suspected by habitat change, over a three-generation period, where habitat loss is ongoing).",2945.918407
18734,VU,decreasing,>30%,in a fifteen year time period (three generations) including the past and the present,a decline of over 30% has occurred in a fifteen year time period (three generations) including the past and the present,NA
18737,EN,decreasing,40%,between the years 1983 and 2000,"According to Cruz et al. (2000) between the years 1983 and 2000 there was an 40 percent decrease in the population of fruit bats (the population decreased from 7,000 individuals in 1983 on 6 islands of the Marianas, to about 4,200 in 2000. NOTE: THESE MAY BE FRUIT BATS OF ADDITIONAL SPECIES",2945.918407
18739,EN,decreasing,A small colony of ca 200 individuals were found roosting in Seram in an unprotected mangrove forest (Tsang et al. 2015).,>50%,in the next three generations (33 years),NA
18740,VU,decreasing,<30%,over the next three generations,"thought likely to undergo a decline of more than 30% over the next three generations...If the Christmas Island population was found to be specifically distinct, it would be assessed as Critically Endangered given that its population declined by 83% in 3 generations",NA
18743,VU,stable,>50%,2015-2035,"""Listed as Endangered based on estimated population decline of 50% in 2015 and 2016 and projected continued decline of >50% from January 2015 forward three generations (20 years).""",2945.918407
18745,VU,decreasing,>30%,over the next three generations (24 years,"a decline of >30% is suspected to occur over the next three generations (24 years, Pacifici et al. 2013)",NA
18746,VU,decreasing,>30%,"over the last three generations (i.e., 30 years)","decline in excess of 30% over the last three generations (i.e., 30 years)",NA
18751,VU,decreasing,>30%,over the last three generations,"decline, estimated to be more than 30% over the last three generations...Surveys across the range showed declines of over 30% since 1990",NA
18754,NT,decreasing,<30%,over the last three generations,24 years,NA
18756,VU,decreasing,"The estimated national population size in 2000 was 300,000 (MacKinnon et al. 2003).",>30%,in the last three generations (18 years,2190
18762,VU,decreasing,>30%,over the last three generations (12-15 years...),A population decline is suspected to be more than 30% over the last three generations (12-15 years,NA
18764,LC,decreasing,NA,NA,"Partial: After cyclone Waka hit the area in 2001, McConkey et al. (2004) recorded a decline of more than 80% of bats they had recorded moving between six islands (A. Brooke pers. comm.).",NA
18766,NT,decreasing,probably <30%,over ten years or three generations,in significant decline (but at a rate of probably less than 30% over ten years or three generations),NA
18848,NT,decreasing,≤20,the last 12-15 years (3 generations),In the last 12-15 years (3 generations) the species has probably declined up to 20%,NA
41669,EN,unknown,> 70%,three generation period 1955-2015,"Overall, the hind-casting analysis indicated a population reduction of about 66% during 1867-1964 and a further reduction of 73% during 1965-2005 (Härkönen et al. 2012). Härkönen et al. (2012) estimated the total population of adult females as 354,210 in 1945 and 21,000 in 2005, later revised to 34,000 by Dmitrieva et al. (2015b) after accounting for survey observation errors.    The IUCN Criterion A calculator was used to project declines over a three generation period 1955-2015, indicating adult female numbers declined 91.5%. However, the scale of decline is dependent on estimated values for parameters such as pup survival and fertility rates, about which there is some uncertainty (Härkönen et al. 2012). Therefore a more conservative position for the purposes of IUCN classification would be to accept a relative decline of at least 70% until more data are available to refine the historical demography.Generation time from Pacifici et al. (2013) is 18.8 years.",NA
39827,CR,decreasing,>80%,NA,declining at over 80%,4015
39826,EN,decreasing,>50%,"in the last three generations (30–36 years, based on a generation length of 10–12 years)...and the decline is predicted to continue at the same rate or slightly higher in the next 30–36 years.","a decline of more than 50% in the last three generations (30–36 years, based on a generation length of 10–12 years)...and the decline is predicted to continue at the same rate or slightly higher in the next 30–36 years.",NA
39828,EN,decreasing,>50%,"in the last three generations (30-36 years, based on a generation length of 10-12 years)","a decline of more than 50% in the last three generations (30-36 years, based on a generation length of 10-12 years)",NA
18944,NT,unknown,NA,NA,"In western part of the range population size was stable, while in the",NA
18945,LC,unknown,"over all Argentina- scarce.   (Missione- common,  northeast Argentina- rare).    relatively wide distribution",NA,NA,NA
29742,VU,decreasing,Total 40%,1999-2015,"""Overall across the circum-arctic countries, the trend is an inferred 40%
 decline over the previous 10-25 years, when Rangifer declined from 
about 4,800,000 to 2,890,410.""",1825
19308,LC,stable,NA,NA,population trend is generally stable or increasing in protected areas and on private land.,NA
19321,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
136730,LC,stable,NA,NA,unlikely to be declining,NA
19323,LC,stable,NA,NA,unlikely to be declining,NA
19329,LC,stable,NA,NA,unlikely to be declining.,NA
19330,LC,stable,NA,NA,unlikely to be declining.,NA
19376,NT,decreasing,< 30%,> 10 years,decline rate of less than 30% over ten years.,NA
19377,NT,decreasing,<30%,last 19 years (three generations),in significant decline (but likely at a rate of less than 30% over the last 19 years (three generations),NA
19381,NT,decreasing,>30%,in the last 25 years and is also predicted to decline at the same rate in the next 25 years,"the population [PARTIAL, IN INDIA] has been decling at a rate greater than 30% in the last 25 years and is also predicted to decline at the same rate in the next 25 years",NA
19391,EN,decreasing,(In South Africa) 61%-73%,in the last three generations (15 years),the South African population underwent a decline of 61-73% in the last three generations (15 years). This is by far the largest of the three populations and results in an overall decline of 55% in three generations.,NA
19399,LC,stable,NA,NA,unlikely to be declining,NA
19402,LC,stable,NA,NA,unlikely to be declining rapidly,NA
19418,VU,decreasing,>30%,the last three generations,estimated to be more than 30% over the last three generations,NA
19474,VU,decreasing,>30%,"in three generations (approximately 15 years for this species), including some time in the past and the future","greater than 30% in three generations (approximately 15 years for this species), including some time in the past and the future",NA
19496,VU,increasing,NA,NA,The Greater One-horned Rhinoceros populations are increasing overall due to strict protection,6851.989367
19523,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
19525,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
40023,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
64587154,VU,2017,"num of mature individuals: 900 - 1000  The total population is thus inferred to be fewer than 1,000 mature individuals",NA,NA,NA
19516,NT,decreasing,NA,NA,"It is inferred that overall population decline has approached 30% over that period.                          In France, the population declined by ca. 70% between 1940 and 1980.",NA
19541,LC,unknown,NA,*,unlikely to be declining,NA
19519,VU,decreasing,>30%,over 3 generations (27 years) over a time window including both the past and the future,"Overall, declines throughout the global range are thought likely to exceed 30% over 3 generations (27 years) over a time window including both the past and the future...The rate of decline has been estimated as 10% in the last 10 years in Andalucia (Spain).",NA
136496,NT,decreasing,30%,over ten years,"significant decline, probably at a rate close to 30% over ten years",NA
19565,NT,decreasing,~30%,over ten years,"in significant decline, probably at a rate close to 30% over ten years",NA
44786,EN,decreasing,NA,NA,eastern part of the range the population experienced sharp decline in the 1960s after several rainy years,NA
19591,NT,unknown,< 30%,over ten years,Listed as Near Threatened because this species is in significant decline (but probably at a rate of less than 30% over ten years),NA
19597,EN,decreasing,>20%,last 2 generations (25 years),NA,NA
19596,EN,decreasing,>50%,in the last 3 generations (approximately 40 years),a decline of over 50% in the last 3 generations (approximately 40 years),NA
13508501,CR,decreasing,>80%,three generation period (18 years),estimated and projected population reduction of more than 80% over the three generation period,2190
19605,LC,stable,NA,NA,unlikely to be declining,NA
19682,VU,decreasing,>30%,over the last three generations (18 years,Pacifici et al. 2013),NA
19708,LC,decreasing,>20% (highly precautionary),over the past 10 years,"A decline exceeding 20% over the past 10 years (which would be sufficient for listing as Near Threatened), accounting also for the loss of some individuals to hunting, is more feasible (especially in the coastal forests of East Africa), albeit highly precautionary.",NA
19710,NT,decreasing,~20%,over 10 years,a decline in the order of 20% over 10 years,NA
136724,LC,unknown,NA,NA,no reasons to think that its habitat is under any threat.,NA
19713,NT,decreasing,<30%,over ten years,probably in significant decline (but probably at a rate of less than 30% over ten years),NA
29730,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
19749,VU,decreasing,>30%,next ten years,future population decline expected.,NA
19750,NT,decreasing,NA,*,It roosts in aggregations of up over a thousand individuals (MacKinnon et al. 2003,NA
19751,VU,decreasing,>30%,"over the past 15 years due to habitat loss, and it is predicted that this decline will continue over the next 15 years","estimated to have experienced a population decline of more than 30% over the past 15 years due to habitat loss, and it is predicted that this decline will continue over the next 15 years",NA
19762,VU,decreasing,30%≤,unspecified,ongoing population decline of at least 30%,NA
4257,VU,decreasing,≥10%,over 24 years (three generations),the species is assumed to still be in decline by at least 10% over 24 years (three generations) mostly due to habitat conversion and degradation.,2920
4265,EN,decreasing,Total ≥90%,2000-2010,"Extracted from column Y, 'Population Data' ,""In the first decade of the 21st century the species declined
by 90% or more, given comparisons of aerial counts in 1994 with ground survey
results from 1998 to 2008 (Olivier and Woodford 1994, Timmins and Ou 2001,
Timmins et al. 2003, R.J Timmins pers. comm. 2008).""",1825
19771,LC,increasing,50000,NA,NA,2437.9015
4273,EN,decreasing,NA,NA,"Populations are fragmented and declining, although evidently the species is able to use a wide variety of habitats. Currently, the species is estimated to have been extirpated from 95% to 98% of its former range (Oliver et al. 1991, 1996).",2555.9125
4274,VU,decreasing,>30%,over the last three generations (approximately 24 years),"population decline, estimated to be more than 30% over the last three generations (approximately 24 years)",NA
41789,VU,decreasing,≥10%,three generations (estimated as a minimum of 15 years),an estimated continuing decline of at least 10% within three generations (estimated as a minimum of 15 years),1825
41790,VU,decreasing,Total 30 - 50%,1991 - 2018 In the last three generations (taken to be 24–30 years),"The global population trend is still considered to be a decline somewhere between 30 and 50 % over three generations, for the past, present and future.",NA
19800,NT,decreasing,<10%,in three generations (around 20 years),less than 10% in three generations (around 20 years),NA
19808,LC,stable,NA,NA,population is not believed to be in decline.,NA
40644,EN,decreasing,>50%,past 18 years (three generations),at least 50% over the past 18 years (three generations),NA
19819,EN,decreasing,>50%,over the past 3 generations (18 years),a serious reduction in population (>50%) over the past 3 generations (18 years),NA
42694,VU,decreasing,>30%,over the past 18 years (three generations),a decline exceeding 30% over the past 18 years (three generations),NA
19823,CR,decreasing,>80%,over the past 3 generations (18 years),greater than 80% over the past 3 generations (18 years),2190
19824,NT,decreasing,~25%,3 generations (18 years),a projected future decline of around 25% over the course of 3 generations (18 years),NA
19832,CR,decreasing,>80%,over the last 10 years,observed decline of over 80% over the last 10 years and the decline is continuing,1700.19755
19836,VU,decreasing,NA,1300-1800,The larger estimate is 1300-1800 individuals (Wong 1990,3354.65875
41538,NT,decreasing,20-25%,over a 25-year period (three generations),past and predicted future declines in the species' population are estimated to be in the region of 20-25% over a 25-year period (three generations),NA
19852,VU,decreasing,NA,NA,"t is likely that over the course of the next 10 years (taken as slightly over three generations), the population will drop by more than 30% (and possibly much more)",NA
136366,LC,decreasing,NA,NA,it is declining in some parts of its range.,NA
42697,EN,decreasing,50%,Over the past three generations (48 years),"Over the past three generations (48 years), it is estimated that the species has undergone a 50% decline",NA
4074,CR,decreasing,>80%,1967-2015,This species is listed as Critically Endangered due to a severe population decline (due to extensive habitat loss throughout its range) over the past three generations (48 years) estimated at more than 80%,NA
40540,EN,decreasing,64%,1990s - 2008,global Tasmanian Devil population has declined by more than 60% in the last 10 years (Hawkins,1704.2151
136549,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a threat category.,NA
8785,LC,unknown,NA,NA,no evidence of a significant decline,NA
42461,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
20003,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
20004,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
20006,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
20037,LC,unknown,"large distribution, presence in many protected areas, and tolerance of some degree to habitat disturbance",NA,NA,NA
20072,LC,unknown,*,NA,NA,NA
14942,LC,decreasing,NA,NA,unlikely to be declining.,NA
39833,EN,2008,Molur et al. (2003) estimated a total population of this species of less than 500 individuals (250 mature),< 10%,next 10 years,3728.2195
135440,NT,decreasing,In Sri Lanka more than 50%,over the last 3 generations,"In Sri Lanka, there has been a drastic decline in habitat (>50% in the last 30 years), and there is more than 50% decline in population over the last 3 generations (Molur et al. 2003; A. Nekaris pers. comm.).",NA
20165,VU,decreasing,NA,NA,"It is difficult accurately to quantify total population trend, but the species is probably decreasing.",1460
20210,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
20211,LC,unknown,NA,NA,unlikely to be declining,NA
20221,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
20229,CR,decreasing,73-90%,10 years  (1995-2005),population decline of 73-90% in 10 years,4024.409658
40551,NT,decreasing,<30%,10 years,NA,NA
12762,VU,decreasing,40%,9 years,"continue to decline by at least 40% over a 27 year period (nine years past, 18 years future)",NA
12765,VU,decreasing,30%-40%,"over a 27 year period (nine years past, 18 years future; generation length estimated at nine years)","past/ongoing and projected future population reduction of 30-40% over a 27 year period (nine years past, 18 years future; generation length estimated at nine years)",NA
20333,CR,decreasing,>80%,over the last ten years,more than 80% over the last ten years,NA
20335,EN,decreasing,50%≤,over a ten year period (5 years in the past and 5 into the future),there would be at least a 50% population reduction over a ten year period (5 years in the past and 5 into the future),NA
135161,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
41386,LC,unknown,NA,NA,no known major threats,NA
41387,LC,unknown,NA,NA,population is not currently declining,NA
41388,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
20385,LC,unknown,NA,NA,unlikely to be declining.,NA
41399,LC,stable,with a population density of 0 to nine per acre (Banfield 1974),NA,NA,NA
